id	uri
3481908	<http://wikidata.dbpedia.org/ontology/ReligiousBuilding>
3481747	<http://wikidata.dbpedia.org/ontology/Reptile>
3482153	<http://wikidata.dbpedia.org/ontology/ResearchProject>
3481686	<http://wikidata.dbpedia.org/ontology/Restaurant>
3481560	<http://wikidata.dbpedia.org/ontology/River>
3481651	<http://wikidata.dbpedia.org/ontology/Road>
3482094	<http://wikidata.dbpedia.org/ontology/RoadJunction>
3482049	<http://wikidata.dbpedia.org/ontology/RoadTunnel>
3481878	<http://wikidata.dbpedia.org/ontology/Rocket>
3482067	<http://wikidata.dbpedia.org/ontology/RollerCoaster>
3481650	<http://wikidata.dbpedia.org/ontology/RouteOfTransportation>
3482086	<http://wikidata.dbpedia.org/ontology/Rower>
3481590	<http://wikidata.dbpedia.org/ontology/Royalty>
3481892	<http://wikidata.dbpedia.org/ontology/RugbyClub>
3481964	<http://wikidata.dbpedia.org/ontology/RugbyLeague>
3481549	<http://wikidata.dbpedia.org/ontology/RugbyPlayer>
3481886	<http://wikidata.dbpedia.org/ontology/Saint>
3481551	<http://wikidata.dbpedia.org/ontology/Satellite>
3481707	<http://wikidata.dbpedia.org/ontology/School>
3481703	<http://wikidata.dbpedia.org/ontology/Scientist>
3482045	<http://wikidata.dbpedia.org/ontology/ScreenWriter>
3482072	<http://wikidata.dbpedia.org/ontology/Sea>
3481979	<http://wikidata.dbpedia.org/ontology/Senator>
3481485	<http://wikidata.dbpedia.org/ontology/Settlement>
3481522	<http://wikidata.dbpedia.org/ontology/Ship>
3481633	<http://wikidata.dbpedia.org/ontology/ShoppingMall>
3481529	<http://wikidata.dbpedia.org/ontology/Single>
3482038	<http://wikidata.dbpedia.org/ontology/SiteOfSpecialScientificInterest>
3482022	<http://wikidata.dbpedia.org/ontology/Skater>
3482010	<http://wikidata.dbpedia.org/ontology/SkiArea>
3481872	<http://wikidata.dbpedia.org/ontology/Skier>
3482180	<http://wikidata.dbpedia.org/ontology/Skyscraper>
3482161	<http://wikidata.dbpedia.org/ontology/SnookerChamp>
3482014	<http://wikidata.dbpedia.org/ontology/SnookerPlayer>
3482141	<http://wikidata.dbpedia.org/ontology/SnookerWorldRanking>
3481677	<http://wikidata.dbpedia.org/ontology/SoapCharacter>
3481799	<http://wikidata.dbpedia.org/ontology/SoccerClub>
3481787	<http://wikidata.dbpedia.org/ontology/SoccerClubSeason>
3481868	<http://wikidata.dbpedia.org/ontology/SoccerLeague>
3481583	<http://wikidata.dbpedia.org/ontology/SoccerManager>
3481461	<http://wikidata.dbpedia.org/ontology/SoccerPlayer>
3481599	<http://wikidata.dbpedia.org/ontology/SoccerTournament>
3481605	<http://wikidata.dbpedia.org/ontology/SocietalEvent>
3482050	<http://wikidata.dbpedia.org/ontology/SoftballLeague>
3481631	<http://wikidata.dbpedia.org/ontology/Software>
3482103	<http://wikidata.dbpedia.org/ontology/SolarEclipse>
3481641	<http://wikidata.dbpedia.org/ontology/Song>
3482174	<http://wikidata.dbpedia.org/ontology/Spacecraft>
3482171	<http://wikidata.dbpedia.org/ontology/SpaceShuttle>
3482144	<http://wikidata.dbpedia.org/ontology/SpaceStation>
3481475	<http://wikidata.dbpedia.org/ontology/Species>
3482091	<http://wikidata.dbpedia.org/ontology/SpeedwayLeague>
3481494	<http://wikidata.dbpedia.org/ontology/SpeedwayRider>
3482154	<http://wikidata.dbpedia.org/ontology/SpeedwayTeam>
3482132	<http://wikidata.dbpedia.org/ontology/Sport>
3481994	<http://wikidata.dbpedia.org/ontology/SportCompetitionResult>
3481750	<http://wikidata.dbpedia.org/ontology/SportFacility>
3481601	<http://wikidata.dbpedia.org/ontology/SportsEvent>
